"w1","x1","x2","T1","T2","T3","T4","T5","T6","T7","T8","T9"
"0","0","1","0.003474489303","0.004699415638","0.006434157897","0.008758255901","0.01137197568","0.01517590692","0.01961053286","0.02568882703","0.03277118667"
"0.1","0.038","0.9621794582","0.004135159946","0.005635480186","0.007650528487","0.01001632345","0.01341969399","0.0174384702","0.02267714096","0.02944961962","0.03810986849"
"0.2","0.081","0.9187451586","0.00490172727","0.006558249609","0.008837395912","0.01182549858","0.01564298501","0.0204715221","0.02656410325","0.03362754742","0.04343857161"
"0.3","0.132","0.8683470163","0.005775603469","0.007875236081","0.01059027835","0.01406556821","0.01808215225","0.02367776583","0.03055032617","0.039366164","0.05053675466"
"0.4","0.191","0.8091642974","0.006768179365","0.009290716339","0.01228452492","0.01659968915","0.02123865192","0.02765366291","0.03523928514","0.04488492932","0.05835031394"
"0.5","0.261","0.7386809486","0.008211597391","0.01083868543","0.01438156613","0.01918930406","0.02499980993","0.03245356753","0.04085942915","0.05132700056","0.06701239948"
"0.6","0.347","0.6533186443","0.009506073714","0.01283966422","0.01728262868","0.02256126814","0.02885029945","0.03772109375","0.04785715921","0.06032561437","0.07507442577"
"0.7","0.452","0.5478100216","0.01155112575","0.01536114316","0.02007768914","0.02627869734","0.03360515139","0.04309281223","0.05490862996","0.07007583313","0.08615843089"
"0.8","0.586","0.4140687722","0.01344551112","0.01762863896","0.02376665347","0.03098929211","0.03884091052","0.05066432231","0.06417173581","0.07976524459","0.1013644521"
"0.9","0.761","0.2390125939","0.01615964205","0.02163063319","0.02773010862","0.03582673983","0.04594503906","0.05755627492","0.07446079814","0.09185703939","0.1156766137"
"1","1","0","0.01942609911","0.02513757548","0.03279406419","0.04176684731","0.05463853781","0.06810695999","0.08679629625","0.1079223248","0.1323695404"
